CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
NCI-H1975,CHEK1,IAP,3,1,3,0.2330077,53.54332531,1,1.2276421,6.66655989,-7.679866,1,CHEK1.IAP
CAMA-1,ADAM17,PIK3C,1,75,1,1.9510265,7.0333385,0.615639894,0.6087861,91.55943613,-7.76057,1,ADAM17.PIK3C
MCF7,FGFR,WNT,3,3,0.061697321,0.7085029,2.64957281,2.942907055,0.5819529,0,-7.763957,1,FGFR.WNT
HT-1197,PIK3C,TNFSF10,0.03,3,0.005523604,10,94.97259657,3,0.8453144,7.29130897,-7.765347,1,PIK3C.TNFSF10
VM-CUB-1,EG5,PIK3CB_PIK3CD,3,0.003,3,0.7267092,51.76596659,0.003,0.9717768,79.17010818,-7.814339,1,EG5.PIK3CB_PIK3CD
MDA-MB-231,ADAM17,FGFR,1,75,1,0,100,1,0,100,-7.882297,1,ADAM17.FGFR
CAL-148,AKT_SGK,FGFR,1,1,1,0,100,0.128646493,1.5500376,0,-7.884005,-1,AKT_SGK.FGFR
HCC1428,AKT,ERBB,1,1,0.04183785,0.6565883,80.62916794,1,0,100,-7.973875,1,AKT.ERBB
MDA-MB-436,AKT_1,PIK3C_2,1,1,0.312691762,10,52.99957779,0.107491874,10,87.14980904,-7.985494,1,AKT_1.PIK3C_2
HCC1187,BCL2_BCL2L1,EGFR,0.1,1,1,0,100,1,0,100,-8.017595,1,BCL2_BCL2L1.EGFR
Calu-3,BCL2,CSNK2A1_2,0.03,3,0.011788362,10,45.5952226,1,0,100,-8.038611,-1,BCL2.CSNK2A1_2
BT-549,BCL2_BCL2L1,EGFR,0.1,1,0.1,10,86.4000758,0.256322074,10,89.49864756,-8.253868,1,BCL2_BCL2L1.EGFR
BT-474,ESR1_1,MTOR_1,1,3,0.108596307,2.6594628,25.29319347,3.00E-04,0.1,43.13950317,-8.310624,1,ESR1_1.MTOR_1
MDA-MB-231,EGFR,FGFR,1,0.1,1,0,100,1,0,100,-8.43381,1,EGFR.FGFR
MDA-MB-468,ADAM17,BCL2_BCL2L1,1,75,1,0.505492,25.21283178,1,0,100,-8.476032,1,ADAM17.BCL2_BCL2L1
T-24,ERBB,MTOR_1,3,3,0.992640978,10,21.49865416,3,10,85.40040639,-8.487045,-1,ERBB.MTOR_1
CAL-148,FASN,MTOR_1,1,1,0.081707481,3.0422146,81.1849509,1,0,100,-8.579723,1,FASN.MTOR_1
HCC1428,MAP2K_1,PIP5K1,1,1,1,0.4978673,78.94476048,1,0,100,-8.722925,1,MAP2K_1.PIP5K1
LS-513,IAP,PIK3CB,10,1,10,10,43.6002123,0.300244786,2.812975,87.50063605,-8.846129,1,IAP.PIK3CB
MDA-MB-436,PIK3CB_PIK3CD,PIP5K1,1,1,1,0,100,0.180161799,1.0078413,65.02785219,-8.865079,1,PIK3CB_PIK3CD.PIP5K1
HCC1187,BCL2_BCL2L1,MAP2K_1,1,1,0.011109779,0.9663252,51.45662141,1,0,100,-8.885992,1,BCL2_BCL2L1.MAP2K_1
CAL-148,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.03925572,1.6218116,2.02799346,0.333596409,10,21.79864057,-8.93609,1,PIK3CB_PIK3CD.TNKS_PARP6
CAL-120,MTOR_1,SLC16A4,1,1,1,0,100,0.194840694,2.1720176,38.49195338,-8.942542,1,MTOR_1.SLC16A4
UACC-812,AKT,Chloroquine,1,1,1.00E-04,0.1,75.7725,1.00E-04,0.1,86.37681855,-8.967205,-3,AKT.Chloroquine
MDA-MB-157,AKT_1,Chloroquine,10,3,0.118247541,10,90.47487722,0.078536309,1.1358809,87.30104093,-8.991378,1,AKT_1.Chloroquine
BT-549,AKT,PIP5K1,1,1,1,0,100,0.218294436,3.820815,53.67551561,-9.036282,1,AKT.PIP5K1
HT-1376,ATR_4,BCL2_BCL2L1,3,3,2.311497739,1.0805992,0,1.065948831,10,34.59787514,-9.038782,1,ATR_4.BCL2_BCL2L1
DMS-114,CSNK2A1_2,SYK,3,0.03,1.934366313,2.1034565,0,0.008979774,10,17.39944686,-9.067485,1,CSNK2A1_2.SYK
MDA-MB-436,AKT,BCL2L1,3,3,0.027464066,10,92.64999564,1.76847899,0.3790732,4.10218032,-9.101048,1,AKT.BCL2L1
HCC38,FASN,MTOR_1,1,1,1,1.4401542,53.68241595,1,0,100,-9.105909,1,FASN.MTOR_1
DMS-114,IAP,PIK3C,3,3,1.129053461,0.8946761,0,3,0.5163862,29.64963469,-9.141138,1,IAP.PIK3C
HT-29,CHEK1,IAP,1,1,1,10,94.40032316,0.183518559,4.0586661,5.70494985,-9.153783,1,CHEK1.IAP
NCI-H1703,CSNK2A1_2,SYK,3,0.1,0.320056386,2.0598163,14.48412784,0.011507937,3.099608,10.64358748,-9.171456,1,CSNK2A1_2.SYK
M14,ERBB,MTOR_1,1,1,0.323543876,10,65.89948727,0.214275234,10,47.38588422,-9.21672,-1,ERBB.MTOR_1
TCCSUP,CHEK1,IAP,0.03,1,0.000255534,0.782033,70.09566479,0.208180521,3.5281542,4.98272189,-9.259832,1,CHEK1.IAP
MDA-MB-231,FASN,MTOR_1,1,1,0.402332628,0.8267566,13.08373935,1,10,94.60000716,-9.364899,1,FASN.MTOR_1
MDA-MB-436,AKT,PIK3CA_4,1,1,0.28931649,3.0080575,85.76780278,0.189363794,2.9793118,72.95327884,-9.456454,1,AKT.PIK3CA_4
MDA-MB-436,FGFR,SLC16A4,1,1,0.302418029,10,92.49986547,0.417124701,10,91.59866051,-9.461145,1,FGFR.SLC16A4
TCCSUP,BCL2_BCL2L1,MAP2K_1,3,3,1.899005662,0.3147776,19.62201529,3,0.3370636,79.43218131,-9.472862,1,BCL2_BCL2L1.MAP2K_1
NCI-H3122,PIK3CB,Topotecan,0.1,3,0.019184922,1.4800887,0,3,0.3254783,66.14619748,-9.509719,1,PIK3CB.Topotecan
MDA-MB-157,PIK3CB_PIK3CD,PIP5K1,1,1,1,0,100,0.697560716,0.3803066,17.27060396,-9.560019,1,PIK3CB_PIK3CD.PIP5K1
CAL-148,AKT_1,ALK_IGFR,1,1,1,0,100,0.254794125,1.289387,12.98072386,-9.584415,1,AKT_1.ALK_IGFR
Calu-3,ALK_2,TOP2,3,3,1,0,100,2.891597725,10,0,-9.617122,-1,ALK_2.TOP2
MFM-223,AKT,TNKS_PARP6,1,1,0.007033495,0.6723293,17.07410639,0.061855556,0.4433318,0,-9.763689,1,AKT.TNKS_PARP6
CAMA-1,PIK3CB_PIK3CD,PIP5K1,1,1,1,0,100,0.135077393,1.146605,18.64790029,-9.863793,1,PIK3CB_PIK3CD.PIP5K1
HCC1806,BCL2_BCL2L1,PIK3CA_4,1,1,0.332839725,10,67.09943035,1,0,100,-9.873476,1,BCL2_BCL2L1.PIK3CA_4
HCC70,MTOR_1,SLC16A4,1,1,1.00E-04,0.1,93.3035161,0.513922428,0.9042372,0,-9.897938,1,MTOR_1.SLC16A4
MDA-MB-436,BCL2_BCL2L1,FGFR,1,1,0.350221273,10,94.29983588,0.262555979,10,92.79908735,-9.931216,1,BCL2_BCL2L1.FGFR
TCCSUP,AKT,ATR_4,3,3,0.640795998,2.1107639,19.07506049,0.510841254,0.7630883,52.13376867,-9.940468,1,AKT.ATR_4
MFM-223,MAP2K_1,MTOR_1,1,1,0.137874724,1.5133783,19.57189481,1,0,100,-9.954348,1,MAP2K_1.MTOR_1
CAL-148,ADAM17,MAP2K_1,1,75,0.011726036,2.1293813,92.37127575,1,0,100,-9.994246,1,ADAM17.MAP2K_1
T-24,AKT,HDAC_4,3,3,1.120697296,10,10.895278,1,0,100,-9.996189,1,AKT.HDAC_4
SW780,AKT,ATR_4,3,3,3,0.8249136,78.10303711,0.292447559,1.4247541,19.475666,-10.00055,1,AKT.ATR_4
HCC1143,MTOR_1,SLC16A4,1,1,1,10,85.00004023,0.297778138,1.4520859,35.40165613,-10.00178,1,MTOR_1.SLC16A4
HCC1187,AKT_1,EGFR,0.1,1,1,0,100,0.074495909,1.0467652,41.54414599,-10.01942,1,AKT_1.EGFR
MDA-MB-453,MAP2K_1,MTOR_1,1,1,0.241080705,6.4866347,10.69125883,1,10,83.80019841,-10.03672,-3,MAP2K_1.MTOR_1
NCI-H1437,Doxorubicin,TOP2,3,0.3,0.449047795,3.3835681,33.28114562,0.012345255,2.7171299,9.80819151,-10.07995,1,Doxorubicin.TOP2
NCI-H1703,ALK,CSNK2A1_2,0.1,3,0.011136006,3.0712619,11.4457309,0.528614855,1.9729394,7.51393732,-10.13046,1,ALK.CSNK2A1_2
UM-UC-3,CHEK1,IAP,0.03,1,0.001363382,1.9338943,66.89004731,0.37532253,10,41.79677074,-10.16303,1,CHEK1.IAP
MDA-MB-361,FGFR,Proteasome_2,1,1,0.007154334,0.4499238,0,1,0.9481324,73.50995674,-10.20944,1,FGFR.Proteasome_2
SW620,IAP,PIK3CB,10,1,0.001002289,0.1,94.03647711,1,0,100,-10.22941,1,IAP.PIK3CB
BT-474,ATR_4,CarboTaxol,0.01,3,0.003115275,10,38.7992773,1.295579149,10,64.19192104,-10.26601,-1,ATR_4.CarboTaxol
CAL-148,PIK3CB_PIK3CD,PIP5K1,1,1,1,0,100,0.337679849,2.9631025,19.39552765,-10.30196,1,PIK3CB_PIK3CD.PIP5K1
HCC1428,FGFR,SLC16A4,1,1,1,0,100,1,0,100,-10.43832,1,FGFR.SLC16A4
UM-UC-3,ATR_4,MAP2K_1,3,3,0.233862621,3.5270297,56.35948649,0.887166609,2.5387576,51.38204981,-10.43963,1,ATR_4.MAP2K_1
SW620,IAP,PARP1,3,1,0.053954041,10,92.72207789,1,0,100,-10.45959,1,IAP.PARP1
CAL-120,AKT_1,ALK_IGFR,1,1,0.36309795,10,60.49842385,0.014076671,2.1661346,92.31762632,-10.4865,1,AKT_1.ALK_IGFR
CAMA-1,ADAM17,MTOR_1,1,75,0.485716842,1.5216843,4.35688537,0.0075,0.1,88.88012885,-10.6617,1,ADAM17.MTOR_1
NCI-H3122,CSNK2A1_2,Gemcitabine,0.03,0.1,0.002243872,3.0682754,0,0.009127994,10,0.34952635,-10.6735,-2,CSNK2A1_2.Gemcitabine
NCI-SNU-16,FGFR,Proteasome_2,0.1,0.01,0.002245851,5.0986233,0.39018591,0.007885491,3.2440232,0,-10.7516,1,FGFR.Proteasome_2
DU-4475,AKT,ATR_4,1,1,0.056251223,0.85574,0,0.339440354,10,31.19858166,-10.7695,1,AKT.ATR_4
BT-20,PIK3C_2,PIK3CA_4,1,1,1,0.5128767,16.07525215,0.577693918,1.1924389,0,-10.77771,1,PIK3C_2.PIK3CA_4
CAMA-1,PIK3C,PIP5K1,1,1,1,0,100,1,1.7785691,12.8920045,-10.80256,1,PIK3C.PIP5K1
NCI-H2291,IAP,PIK3C,3,3,0.349202295,1.3475569,43.55448029,3,10,47.20007459,-10.93406,1,IAP.PIK3C
DMS-114,CSNK2A1_2,PIK3CA_3,3,0.03,3,0.4409296,48.9237772,0.008941072,10,15.89946287,-10.98224,1,CSNK2A1_2.PIK3CA_3
T-24,BCL2_BCL2L1,MAP2K_1,3,0.3,0.784025132,0.7552391,0,0.3,0.9557467,87.62098138,-11.02539,1,BCL2_BCL2L1.MAP2K_1
NCI-H2170,ALK,CSNK2A1_2,0.03,3,0.006571705,2.6772882,14.34414943,1.308997968,10,25.88146471,-11.04481,-3,ALK.CSNK2A1_2
VM-CUB-1,HDAC_4,PARP1,3,3,0.132934197,10,76.97022579,2.558888355,2.6722034,0,-11.05425,-3,HDAC_4.PARP1
HCC1954,Chloroquine,PIK3C,3,10,0.851048674,2.168424,14.57855184,0.032938033,0.5293516,80.7307386,-11.06434,1,Chloroquine.PIK3C
MDA-MB-453,ADAM17,MTOR_1,1,75,0.274518195,10,14.5990224,1,0,100,-11.08194,1,ADAM17.MTOR_1
HT-1197,ERBB,MTOR_1,3,3,0.285330744,10,57.44973408,1,0,100,-11.10421,1,ERBB.MTOR_1
SW780,Chloroquine,FGFR,3,3,0.49589918,0.437802,0,3,0.7446953,70.04119285,-11.19588,1,Chloroquine.FGFR
MDA-MB-436,AKT_SGK,FGFR,1,1,1,0.7316868,78.54896376,0.286619595,10,62.0997781,-11.19866,1,AKT_SGK.FGFR
NCI-H2228,PIK3CB,Topotecan,0.1,3,0.039711946,0.4712656,0,3,0.2301772,0.72325777,-11.22572,1,PIK3CB.Topotecan
MFM-223,ADAM17,BCL2_BCL2L1,1,75,0.351511036,10,61.79889402,1,0,100,-11.2459,1,ADAM17.BCL2_BCL2L1
NCI-H1703,BCL2,CarboTaxol,0.01,3,0.002042906,2.1554925,5.26289393,3,1.2614399,67.53938755,-11.26686,1,BCL2.CarboTaxol
HCC1143,AKT_SGK,BCL2_BCL2L1,1,1,0.310984965,10,58.39962913,0.183040173,10,89.26931826,-11.27415,1,AKT_SGK.BCL2_BCL2L1
HT-1197,ATR_4,MTOR_1,3,3,0.50413119,0.8646546,22.8975914,1.606964632,10,42.08759687,-11.3501,1,ATR_4.MTOR_1
NCI-H522,CSNK2A1_2,Gemcitabine,0.03,0.03,0.002465895,3.3481223,7.96167177,0.004138912,2.9618395,4.76737819,-11.43911,1,CSNK2A1_2.Gemcitabine
HCC70,MAP2K_1,PIP5K1,1,1,1,0,100,0.106956009,10,81.94969746,-11.47321,1,MAP2K_1.PIP5K1
BT-474,ERBB,MTOR_1,1,3,0.107248829,7.6437867,27.98609465,0.336325656,1.199593,0,-11.51616,1,ERBB.MTOR_1
HCC38,AKT_1,ESR1,1,1,1,0,100,0.100338819,10,94.09998896,-11.54618,1,AKT_1.ESR1
SW780,EG5,PIM1,3,0.003,1,0,100,1,0,100,-11.5801,1,EG5.PIM1
M14,MTOR_1,PIK3CA_4,1,1,0.274373561,10,78.99971679,0.305224719,10,54.69961246,-11.71238,1,MTOR_1.PIK3CA_4
BT-20,ATR_4,MAP2K_1,1,1,0.058714782,0.6794933,43.2326981,0.894659629,1.6764131,0,-11.71682,1,ATR_4.MAP2K_1
NCI-H2170,Carboplatin,CSNK2A1_2,0.03,3,0.009534436,10,18.79893494,3,10,72.80075222,-11.91057,-1,Carboplatin.CSNK2A1_2
KU-19-19,BCL2_BCL2L1,FGFR,3,3,1,0,100,3,2.0810819,52.33402889,-11.91275,-1,BCL2_BCL2L1.FGFR
MDA-MB-468,ADAM17,PIK3C,1,75,1,0,100,1,0,100,-11.91822,1,ADAM17.PIK3C
BT-549,ADAM17,FGFR,1,75,0.055009017,0.4464461,54.09263958,0.0075,0.1,83.55205894,-11.91837,1,ADAM17.FGFR
CAL-148,ATR_4,MAP2K_1,1,1,0.015766529,0.8674849,85.53242295,0.342254128,10,53.59897097,-11.95551,1,ATR_4.MAP2K_1
NCI-H3122,BCL2,CSNK2A1_2,0.1,3,0.007083985,2.6977279,0.49134866,0.316192603,10,71.1998857,-11.98931,1,BCL2.CSNK2A1_2
NCI-H23,CSNK2A1_2,TNFSF10,0.03,0.1,0.005605057,10,90.40620788,0.007800708,1.5087365,9.29263792,-12.0481,1,CSNK2A1_2.TNFSF10
HCC70,AKT,PIK3C_2,1,1,1,0,100,0.285228807,10,18.69965895,-12.07315,-1,AKT.PIK3C_2
HCC38,ATR_4,BCL2_BCL2L1,1,1,0.161452397,2.2837906,7.58756056,0.34120254,0.9284739,0,-12.10795,1,ATR_4.BCL2_BCL2L1
HT-1376,AKT,HDAC_4,3,3,0.419382659,2.7617318,35.95241359,0.079029537,0.989329,33.89094593,-12.20187,1,AKT.HDAC_4
A549,CarboTaxol,CSNK2A1_2,0.1,0.01,0.015533651,4.4054086,7.78749004,0.002395406,5.2671345,17.35516532,-12.31963,1,CarboTaxol.CSNK2A1_2
HCC70,EGFR,FGFR,1,0.1,1,0,100,1,0,100,-12.35887,1,EGFR.FGFR
T-24,AKT,ERBB,3,3,1.28476503,10,84.09670069,1,0,100,-12.38291,1,AKT.ERBB
MDA-MB-468,PIK3CB_PIK3CD,PIP5K1,1,1,1,0,100,1,0,100,-12.38771,-1,PIK3CB_PIK3CD.PIP5K1
CAL-51,ATR_4,MTOR_1,1,1,0.269962042,1.9992699,19.84596237,0.26284964,3.4713899,3.06947504,-12.53156,1,ATR_4.MTOR_1
NCI-H23,Carboplatin,CSNK2A1_2,0.1,3,0.006951043,1.4460336,11.59601846,1.496817471,1.6053296,18.34581348,-12.56483,1,Carboplatin.CSNK2A1_2
HCC1806,PIK3C,PIP5K1,1,1,1,0,100,0.353652299,2.7147196,17.99395925,-12.64251,1,PIK3C.PIP5K1
HCC70,ADAM17,BCL2_BCL2L1,1,75,1,0,100,1,0,100,-12.64301,1,ADAM17.BCL2_BCL2L1
BT-20,AKT_1,ESR1_1,3,3,1.44767486,10,79.28582678,1.692116,0.905353,22.05266733,-12.6923,1,AKT_1.ESR1_1
HCC1937,AKT_1,ESR1,1,1,1,0,100,1,0.5739381,43.59387331,-12.8115,1,AKT_1.ESR1
DMS-114,BCL2_BCL2L1,FGFR,3,3,0.200634629,2.9518646,17.75352384,3,10,88.60056234,-12.82158,1,BCL2_BCL2L1.FGFR
HT-1197,AKT,ATR_4,3,1,3,0.7437595,18.50990044,0.119006782,1.1677708,48.62600643,-12.90671,1,AKT.ATR_4
SW948,IAP,PIK3CB,10,1,2.012951491,10,91.42909532,0.832456849,1.2929697,39.63219468,-13.00104,-1,IAP.PIK3CB
BT-549,MTOR_1,SLC16A4,1,1,0.094686512,10,81.04974157,0.507771058,0.8562569,0,-13.05606,1,MTOR_1.SLC16A4
HCC38,AKT,PIP5K1,1,1,1,0,100,0.31797709,10,84.09981813,-13.18842,-1,AKT.PIP5K1
HCC38,AKT_SGK,MAP2K_1,1,1,0.017252111,0.1,80.70155308,0.59793808,2.3426119,84.4072192,-13.19094,1,AKT_SGK.MAP2K_1
UM-UC-3,EG5,PIK3CB_PIK3CD,3,0.003,1.069586815,10,78.09927027,0.001308341,10,79.59492271,-13.20491,1,EG5.PIK3CB_PIK3CD
HCC1806,AKT,FGFR,1,1,1,0,100,0.386971296,10,72.49792863,-13.23412,1,AKT.FGFR
HCC1419,AKT,HDAC_4,1,1,1,0,100,0.299649432,10,49.09946378,-13.24663,-1,AKT.HDAC_4
HCC70,FGFR,SLC16A4,1,1,1,0,100,1,0,100,-13.2687,-1,FGFR.SLC16A4
TCCSUP,EG5,PARP1,3,0.003,3,0.6446275,26.44393754,0.002457993,3.758024,0,-13.2763,1,EG5.PARP1
NCI-H23,ALK,EGFR_2,1,3,1.00E-04,0.1,80.73818801,0.048313947,0.9963781,36.60627461,-13.29691,1,ALK.EGFR_2
T-24,HSP90,PIK3C,3,0.3,0.972519686,10,67.49950925,0.072100023,3.2759173,7.01708292,-13.32454,1,HSP90.PIK3C
Calu-6,CarboTaxol,CSNK2A1_2,0.03,0.01,0.007345604,1.7158054,6.91290104,0.001987436,3.8462681,22.63860228,-13.32579,1,CarboTaxol.CSNK2A1_2
HCC1143,AKT_1,ESR1,1,1,1,0,100,0.168050497,0.8434343,68.44974961,-13.36032,1,AKT_1.ESR1
SW780,PARP1,PIK3C,3,3,3,10,83.80063667,1,0,100,-13.53915,1,PARP1.PIK3C
DU-4475,ATR_4,MAP2K_1,1,1,0.013350709,2.8734309,0.2001511,0.112265784,1.7533554,0,-13.59996,1,ATR_4.MAP2K_1
M14,MAP2K_1,MTOR_1,1,1,0.279658644,10,51.09900835,0.184241079,0.7192582,1.29711244,-13.63462,1,MAP2K_1.MTOR_1
MDA-MB-436,AKT,AKT_1,1,1,0.155502449,3.0509571,80.92391321,0.152421805,1.8022773,68.99143067,-13.70829,1,AKT.AKT_1
22RV1,AKT,FGFR,3,1,3,10,49.80021686,0.098900794,10,75.54982509,-13.81908,1,AKT.FGFR
CAL-120,PIK3C,PIM1,1,1,1,0,100,1,10,78.00008276,-13.8655,-1,PIK3C.PIM1
Calu-3,CSNK2A1_2,SYK,3,0.03,3.00E-04,0.1,94.84611686,0.029499092,10,0,-13.90905,-1,CSNK2A1_2.SYK
NCI-H1437,BCL2,Topotecan,0.1,3,0.056231494,0.7160507,0,0.134233405,1.1875538,46.71625869,-13.91897,1,BCL2.Topotecan
Calu-3,BRAF_M,MAP2K_1,3,3,0.389175562,10,89.84960792,1,0,100,-13.99233,1,BRAF_M.MAP2K_1
MDA-MB-436,ESR1_1,MTOR_1,1,3,0.1089987,0.5179892,18.23898311,0.294710161,10,91.54995499,-14.06975,1,ESR1_1.MTOR_1
DMS-114,BCL2,CSNK2A1_2,0.03,3,0.007504856,4.2718303,16.68530483,3,2.6542232,94.01159294,-14.16485,-1,BCL2.CSNK2A1_2
BFTC-905,AKT,ATR_4,3,3,0.980861481,1.9514052,0.87198217,0.431346599,1.3683925,29.29772121,-14.1991,1,AKT.ATR_4
MDA-MB-468,MAP2K_1,MTOR_1,1,3,0.195500065,2.747864,24.28608518,0.131283189,1.0580504,77.25458618,-14.24939,1,MAP2K_1.MTOR_1
HCC1569,MAP2K_3,PIK3C,3,0.3,0.96292076,0.4554336,0,0.3,0.4870723,66.69579414,-14.28021,1,MAP2K_3.PIK3C
MDA-MB-436,ERBB,PIK3CA_4,1,1,0.269759902,10,85.19954438,0.288229205,10,83.79987936,-14.51429,1,ERBB.PIK3CA_4
HCC1806,PIK3CB_PIK3CD,PIP5K1,1,1,1,0,100,1,0,100,-14.63024,1,PIK3CB_PIK3CD.PIP5K1
SW900,Carboplatin,CSNK2A1_2,0.01,3,0.00292677,2.3930983,29.06902328,3,1.084225,4.23552643,-14.667,1,Carboplatin.CSNK2A1_2
CAL-51,AKT,AKT_1,1,1,0.350374087,2.8549052,61.35838442,0.703133704,0.663661,0,-14.69828,1,AKT.AKT_1
HT-1197,ATR_4,HDAC_4,3,3,0.655751447,2.5389471,23.88584605,1.437980809,10,65.077657,-14.79173,1,ATR_4.HDAC_4
MDA-MB-453,MTOR_1,SLC16A4,1,1,1,0,100,0.258854595,10,13.49871608,-14.84701,1,MTOR_1.SLC16A4
M14,AKT_1,ALK_IGFR,1,1,0.309656053,10,51.59938665,0.480666552,4.6261224,85.21749327,-14.95205,-1,AKT_1.ALK_IGFR
HCC1143,BCL2_BCL2L1,PIM1,1,1,1,0.1270742,60.14023629,1,0.2034554,9.87350177,-15.04397,1,BCL2_BCL2L1.PIM1
NCI-H520,BCL2L1,CarboTaxol,0.01,3,0.002692656,3.6702406,33.76762424,1,0,100,-15.04715,-1,BCL2L1.CarboTaxol
CAMA-1,AKT,PIK3C_2,1,1,0.371593734,10,44.89723065,0.126380262,1.1348007,7.0952965,-15.07413,1,AKT.PIK3C_2
MDA-MB-231,ERBB,FGFR,1,1,0.325447046,10,88.59983604,1,0,100,-15.08077,1,ERBB.FGFR
HCC70,MTOR_1,PIK3C,3,1,0.166373411,10,92.37820243,0.063576854,1.2381444,15.18337233,-15.16889,1,MTOR_1.PIK3C
NCI-H2228,BCL2_2,Vinorelbine,0.1,3,0.042894147,0.8094453,0,0.010087186,0.5290947,82.15846986,-15.18214,1,BCL2_2.Vinorelbine
HCC1187,ADAM17,MAP2K_1,1,75,0.2216958,0.4144753,21.95251432,1,0,100,-15.21563,1,ADAM17.MAP2K_1
MFM-223,ADAM17,PIK3CB_PIK3CD,1,75,1,0.3926152,45.66550563,0.765201846,10,91.99998861,-15.22839,1,ADAM17.PIK3CB_PIK3CD
BFTC-905,Cisplatin,HDAC_4,3,3,0.293836693,2.8675615,16.81644234,0.610987323,1.5852018,0,-15.31246,1,Cisplatin.HDAC_4
NCI-SNU-16,FGFR,MTOR_3,3,0.01,0.087655762,0.7032633,17.42754608,0.003945699,10,35.99414109,-15.33537,1,FGFR.MTOR_3
MDA-MB-453,AKT_1,BCL2_2,3,3,3,10,47.20060979,0.295095007,10,49.54979389,-15.33801,1,AKT_1.BCL2_2
HT-1197,FGFR,MTOR_1,3,3,0.503951996,1.0477914,34.21060168,3,10,78.80121252,-15.47986,1,FGFR.MTOR_1
SW48,IAP,PARP1,10,1,6.993027404,1.3017379,0,0.00160259,0.4337952,88.26793153,-15.49609,1,IAP.PARP1
HCC70,AKT,AKT_1,1,1,0.310574858,10,57.99943022,0.256157023,1.9578187,11.22164101,-15.53357,-1,AKT.AKT_1
KMS-11,FGFR,Proteasome_2,0.03,0.03,0.001257984,4.1614957,0.40867474,0.028550895,1.7398386,0,-15.55902,1,FGFR.Proteasome_2
MCF7,FGFR,MTOR_3,1,3,0.008324516,3.975491,38.33079789,3,10,54.00183511,-15.5593,-1,FGFR.MTOR_3
MDA-MB-468,BCL2L1,PIK3C,3,3,2.246117661,1.2775293,0,2.79829453,0.3572876,47.94935379,-15.56534,1,BCL2L1.PIK3C
HCC1806,AKT,PIK3C_2,1,1,0.348873035,10,16.5977691,0.322092665,10,48.09936281,-15.70878,1,AKT.PIK3C_2
KU-19-19,MAP2K_1,PIK3C,3,3,1,0,100,0.902182927,4.2876129,30.80562058,-15.7379,-1,MAP2K_1.PIK3C
647-V,EG5,PIK3CB_PIK3CD,3,0.003,0.505483386,1.5927601,7.04658677,0.001949597,5.2568872,0,-15.75108,1,EG5.PIK3CB_PIK3CD
HCC1395,ATR_4,MTOR_1,1,1,0.251317012,1.0383607,24.83996623,0.381136059,1.4310061,0,-15.95583,1,ATR_4.MTOR_1
MDA-MB-453,PIK3C,PIP5K1,1,1,0.431634337,10,88.29737357,0.197764852,1.5458108,2.62939267,-15.98586,1,PIK3C.PIP5K1
UM-UC-3,IAP,PIK3C,3,0.03,1.905632066,1.5890227,16.50209555,0.002003857,2.1817394,71.57732775,-16.0194,1,IAP.PIK3C
UM-UC-3,BCL2_BCL2L1,MAP2K_1,3,3,0.212141144,3.3289814,58.01048195,0.375647163,0.8543311,31.68710617,-16.08685,1,BCL2_BCL2L1.MAP2K_1
T-24,HDAC_4,PARP1,3,3,3,1.6022412,12.48910923,1.106931046,10,11.59586212,-16.14572,1,HDAC_4.PARP1
NCI-H522,BCL2_2,Vinorelbine,0.01,3,0.003753507,10,68.79826782,3,0.4343812,70.79628391,-16.24268,1,BCL2_2.Vinorelbine
NCI-H2170,CSNK2A1_2,TNFSF10,0.03,0.03,0.011180178,0.8915533,42.06117546,0.004498948,2.7697401,11.47131024,-16.27782,1,CSNK2A1_2.TNFSF10
MDA-MB-436,ESR1,FGFR,1,1,1,10,88.40019858,1,0,100,-16.33541,1,ESR1.FGFR
HCC1806,BCL2_BCL2L1,SLC16A4,1,1,1,0,100,1,0,100,-16.43859,1,BCL2_BCL2L1.SLC16A4
RKO,JAK,MTOR,0.3,3,0.09634378,10,36.99926363,1.457962601,10,51.16413496,-16.49354,1,JAK.MTOR
TCCSUP,AKT,HDAC_4,3,3,0.601997228,1.1994691,0,0.082556326,0.667063,43.69435114,-16.70528,1,AKT.HDAC_4
EVSA-T,BRAF_M2,MAP2K_3,0.3,0.1,0.007778913,0.1,68.31563289,0.1,0.2399212,63.83422167,-16.95827,1,BRAF_M2.MAP2K_3
MFM-223,ATR_4,MTOR_1,1,1,0.302083167,10,18.99938856,1,10,62.60016968,-17.05449,-1,ATR_4.MTOR_1
MDA-MB-157,PIK3C,PIP5K1,1,1,1,0,100,1,0.4033255,12.45950944,-17.13851,1,PIK3C.PIP5K1
CAMA-1,BCL2_BCL2L1_BCL2L2,FGFR,1,1,0.081396061,10,93.79946342,1,0,100,-17.2007,1,BCL2_BCL2L1_BCL2L2.FGFR
HCC70,BCL2_BCL2L1,EGFR,0.1,1,1,0,100,1,0,100,-17.26343,1,BCL2_BCL2L1.EGFR
NCI-H1563,ATR_4,IAP,1,3,0.008942583,1.6688855,20.8751641,1.063995087,10,81.69941459,-17.27948,1,ATR_4.IAP
